Hiber-loss	LSTM-Loss	
 2.1945e+00	 2.5907e-01	
 2.2444e+00	 2.6107e-01	
 2.1528e+00	 2.6267e-01	
 2.1693e+00	 2.6139e-01	
 2.2023e+00	 2.6670e-01	
 2.1592e+00	 2.5579e-01	
 2.2267e+00	 2.6089e-01	
 2.1953e+00	 2.5486e-01	
 2.1569e+00	 2.6312e-01	
 2.1737e+00	 2.5533e-01	
 2.1522e+00	 2.5934e-01	
 2.1802e+00	 2.5559e-01	
 2.1752e+00	 2.5903e-01	
 2.1649e+00	 2.5703e-01	
 2.1614e+00	 2.5566e-01	
 2.1971e+00	 2.6644e-01	
 2.1218e+00	 2.5943e-01	
 2.1976e+00	 2.5924e-01	
 2.1090e+00	 2.5855e-01	
 2.1522e+00	 2.6027e-01	
 2.1375e+00	 2.6089e-01	
 2.1102e+00	 2.5605e-01	
 2.2431e+00	 2.5679e-01	
 2.1616e+00	 2.5580e-01	
 2.1586e+00	 2.5365e-01	
 2.1195e+00	 2.5656e-01	
 2.1181e+00	 2.6045e-01	
 2.1829e+00	 2.5018e-01	
 2.1600e+00	 2.5332e-01	
 2.1918e+00	 2.5933e-01	
 2.1480e+00	 2.5841e-01	
 2.1246e+00	 2.5878e-01	
 2.1554e+00	 2.5062e-01	
 2.1144e+00	 2.5434e-01	
 2.1339e+00	 2.4701e-01	
 2.1569e+00	 2.4787e-01	
 2.1968e+00	 2.5540e-01	
 2.1255e+00	 2.5043e-01	
 2.1411e+00	 2.4910e-01	
 2.1846e+00	 2.5365e-01	
 2.1688e+00	 2.4452e-01	
 2.1278e+00	 2.5360e-01	
 2.1126e+00	 2.5120e-01	
 2.2026e+00	 2.5141e-01	
 2.1713e+00	 2.5644e-01	
 2.1486e+00	 2.4823e-01	
 2.1400e+00	 2.5785e-01	
 2.1368e+00	 2.4841e-01	
 2.1316e+00	 2.4677e-01	
 2.1614e+00	 2.5238e-01	
 2.1545e+00	 2.4780e-01	
 2.1610e+00	 2.3972e-01	
