Hiber-loss	LSTM-Loss	
 1.4063e+00	 2.8205e-01	
 1.3356e+00	 2.8039e-01	
 1.3596e+00	 2.7997e-01	
 1.3680e+00	 2.7991e-01	
 1.3434e+00	 2.7813e-01	
 1.3638e+00	 2.7781e-01	
 1.3759e+00	 2.8178e-01	
 1.3794e+00	 2.7673e-01	
 1.3270e+00	 2.7791e-01	
 1.3543e+00	 2.7758e-01	
 1.3105e+00	 2.7511e-01	
 1.3601e+00	 2.7824e-01	
 1.4048e+00	 2.7873e-01	
 1.3155e+00	 2.7889e-01	
 1.3890e+00	 2.8076e-01	
 1.4122e+00	 2.7847e-01	
 1.2877e+00	 2.7465e-01	
 1.3501e+00	 2.7910e-01	
 1.4323e+00	 2.8152e-01	
 1.3537e+00	 2.7500e-01	
 1.3584e+00	 2.8348e-01	
 1.3700e+00	 2.8141e-01	
 1.3767e+00	 2.7975e-01	
 1.3322e+00	 2.7801e-01	
 1.3545e+00	 2.8095e-01	
 1.3587e+00	 2.8100e-01	
 1.3699e+00	 2.7364e-01	
 1.3709e+00	 2.7612e-01	
 1.3857e+00	 2.7928e-01	
 1.3254e+00	 2.7793e-01	
 1.3667e+00	 2.7809e-01	
 1.3619e+00	 2.7863e-01	
 1.3763e+00	 2.8155e-01	
 1.3691e+00	 2.8376e-01	
 1.3273e+00	 2.7611e-01	
 1.4055e+00	 2.7697e-01	
 1.3160e+00	 2.7169e-01	
 1.3498e+00	 2.8016e-01	
 1.3589e+00	 2.7725e-01	
 1.3538e+00	 2.8430e-01	
 1.4046e+00	 2.8022e-01	
 1.3668e+00	 2.7956e-01	
 1.3493e+00	 2.7859e-01	
 1.3932e+00	 2.8114e-01	
 1.3844e+00	 2.7513e-01	
 1.4182e+00	 2.8189e-01	
 1.3702e+00	 2.7818e-01	
 1.3787e+00	 2.8009e-01	
 1.3444e+00	 2.7955e-01	
 1.3772e+00	 2.7706e-01	
 1.3488e+00	 2.7648e-01	
 1.3416e+00	 2.7526e-01	
 1.3846e+00	 2.7853e-01	
 1.3709e+00	 2.8191e-01	
 1.3471e+00	 2.7928e-01	
 1.3897e+00	 2.7901e-01	
 1.3247e+00	 2.7310e-01	
 1.3362e+00	 2.7666e-01	
 1.3696e+00	 2.7967e-01	
 1.3719e+00	 2.8226e-01	
 1.3868e+00	 2.8069e-01	
 1.3865e+00	 2.7646e-01	
 1.3827e+00	 2.7788e-01	
 1.3557e+00	 2.7920e-01	
 1.3845e+00	 2.8110e-01	
 1.3846e+00	 2.8521e-01	
 1.3673e+00	 2.8323e-01	
 1.3384e+00	 2.7808e-01	
 1.3751e+00	 2.8044e-01	
 1.3866e+00	 2.8071e-01	
 1.3189e+00	 2.7537e-01	
 1.3817e+00	 2.7554e-01	
 1.3343e+00	 2.7854e-01	
 1.3417e+00	 2.7960e-01	
 1.3550e+00	 2.7734e-01	
 1.3513e+00	 2.7824e-01	
 1.3659e+00	 2.7766e-01	
 1.3687e+00	 2.7708e-01	
 1.3477e+00	 2.7812e-01	
 1.3909e+00	 2.7599e-01	
 1.3352e+00	 2.8304e-01	
 1.3884e+00	 2.7905e-01	
 1.3750e+00	 2.7970e-01	
 1.3335e+00	 2.7726e-01	
 1.3867e+00	 2.8109e-01	
 1.3587e+00	 2.8077e-01	
 1.3325e+00	 2.7840e-01	
 1.3801e+00	 2.7828e-01	
